symbol,charge,model,a1,b1,a2,b2,a3,b3,a4,b4,c,maximum error,s,mean error
H,0.0000000,HF,0.4899180,20.6593000,0.2620030,7.7403900,0.1967670,49.5519000,0.0498790,2.2015900,0.0013050,0.0000000,0.1700000,0.0000000
H,-1.0000000,HF,0.8976610,53.1368000,0.5656160,15.1870000,0.4158150,186.5760000,0.1169730,3.5670900,0.0023890,0.0020000,0.0900000,0.0010000
He,0.0000000,RHF,0.8734000,9.1037000,0.6309000,3.3568000,0.3112000,22.9276000,0.1780000,0.9821000,0.0064000,0.0010000,1.0100000,0.0000000
Li,0.0000000,RHF,1.1282000,3.9546000,0.7508000,1.0524000,0.6175000,85.3905000,0.4653000,68.2610000,0.0377000,0.0050000,2.0000000,0.0010000
Li,1.0000000,RHF,0.6968000,4.6237000,0.7888000,1.9557000,0.3414000,0.6316000,0.7029000,0.5420000,0.0167000,0.0010000,1.7800000,0.0000000
Be,0.0000000,RHF,1.5919000,43.6427000,1.1278000,1.8623000,0.5391000,103.4830000,0.7029000,0.5420000,0.0385000,0.0030000,0.5600000,0.0010000
Be,2.0000000,RHF,6.2603000,0.0027000,0.8849000,0.8313000,0.7993000,2.2758000,0.1647000,5.1146000,-6.1092000,0.0010000,1.9700000,0.0000000
B,0.0000000,RHF,2.0545000,23.2185000,1.3326000,1.0210000,1.0979000,60.3498000,0.7068000,0.1403000,-0.1932000,0.0020000,0.7500000,0.0010000
C,0.0000000,RHF,2.3100000,20.8439000,1.0200000,10.2075000,1.5886000,0.5687000,0.8650000,51.6512000,0.2156000,0.0060000,2.0000000,0.0010000
C,val,HF,2.2606900,22.6907000,1.5616500,0.6566650,1.0507500,9.7561800,0.8392590,55.5949000,0.2869770,0.0010000,0.1600000,0.0000000
N,0.0000000,RHF,12.2126000,0.0057000,3.1322000,9.8933000,2.0125000,28.9975000,1.1663000,0.5826000,-11.5290000,0.0070000,0.1100000,0.0020000
O,0.0000000,RHF,3.0485000,13.2771000,2.2868000,5.7011000,1.5463000,0.3239000,0.8670000,32.9089000,0.2508000,0.0010000,0.2200000,0.0000000
O,-1.0000000,HF,4.1916000,12.8573000,1.6396900,4.1723600,1.5267300,-47.0179000,20.3070000,-0.0140400,21.9412000,0.0110000,1.5000000,0.0040000
F,0.0000000,RHF,3.5392000,10.2825000,2.6412000,4.2944000,1.5170000,0.2615000,1.0243000,26.1476000,0.2776000,0.0010000,0.0100000,0.0000000
F,-1.0000000,HF,3.6322000,5.2775600,3.5105700,14.7353000,1.2606400,0.4422580,0.9407060,47.3437000,0.6533960,0.0030000,0.0900000,0.0010000
