symbol,charge,model,a0,a1,a2,a3,correlation coefficient
He,0.000000,FOT,0.525430,-3.433000,4.800700,-2.547600,1.000000
Li,0.000000,FOT,0.894630,-2.436600,2.325000,-0.719490,1.000000
Be,0.000000,FOT,1.258400,-1.945900,1.304600,-0.042970,1.000000
B,0.000000,FOT,1.667200,-1.855600,1.604400,-0.659810,1.000000
C,0.000000,FOT,1.705600,-1.567600,1.189300,-0.427150,1.000000
N,0.000000,FOT,1.549400,-1.201900,0.510640,0.024720,1.000000
O,0.000000,FOT,1.305300,-0.837420,-0.167380,0.475000,1.000000
F,0.000000,FOT,1.167100,-0.632030,-0.402070,0.543520,1.000000
Ne,0.000000,FOT,1.093100,-0.502210,-0.536480,0.609570,0.999500
Na,0.000000,FOT,0.845580,-0.262940,-0.878840,0.769740,1.000000
Mg,0.000000,FOT,0.718770,-0.131440,-1.209000,0.827380,1.000000
Al,0.000000,FOT,0.679750,-0.087560,-0.954310,0.722940,1.000000
Si,0.000000,FOT,0.706830,-0.098880,-0.983560,0.556310,1.000000
P,0.000000,FOT,0.855320,-0.212620,-0.373900,0.207310,1.000000
S,0.000000,FOT,1.104000,-0.403250,0.200940,-0.260580,1.000000
Cl,0.000000,FOT,1.423200,-0.639360,0.847220,-0.761350,0.999500
Ar,0.000000,FOT,1.820200,-0.927760,1.592200,-1.325100,0.999500
K,0.000000,FOT,2.265500,-1.245300,2.383300,-1.912900,0.999000
Ca,0.000000,FOT,2.717400,-1.556700,3.131700,-2.456700,0.999000
Sc,0.000000,FOT,3.117300,-1.813800,3.713900,-2.853300,0.999000
Ti,0.000000,FOT,3.453600,-2.011500,4.131700,-3.117100,0.999500
V,0.000000,FOT,3.712700,-2.139200,4.346100,-3.220400,0.999500
Cr,0.000000,FOT,3.878700,-2.190000,4.386700,-3.175200,1.000000
Mn,0.000000,FOT,3.985500,-2.188500,4.279600,-3.021500,1.000000
Fe,0.000000,FOT,3.997900,-2.110800,3.981700,-2.719900,1.000000
Co,0.000000,FOT,3.959000,-1.996500,3.606300,-2.370500,1.000000
Ni,0.000000,FOT,3.860700,-1.886900,3.123900,-1.942900,1.000000
Cu,0.000000,FOT,3.725100,-1.655000,2.602900,-1.497600,0.999500
Zn,0.000000,FOT,3.559500,-1.451000,2.033900,-1.021600,0.999500
Ga,0.000000,FOT,3.375600,-1.239100,1.461600,-0.554710,0.999500
Ge,0.000000,FOT,3.178000,-1.022300,0.891190,-0.098840,0.999500
As,0.000000,FOT,2.977400,-0.810380,0.348610,0.322310,0.999500
Se,0.000000,FOT,2.783400,-0.611100,-0.147310,0.698370,0.999500
Br,0.000000,FOT,2.606100,-0.433080,-0.573810,1.009500,0.999500
Kr,0.000000,FOT,2.442800,-0.272440,-0.955700,1.270700,0.999500
Rb,0.000000,FOT,2.309900,-0.143280,-1.226000,1.453200,1.000000
Sr,0.000000,FOT,2.210700,-0.047700,-1.411000,1.554100,1.000000
Y,0.000000,FOT,2.142200,0.019350,-1.522400,1.596300,1.000000
Zr,0.000000,FOT,2.126900,0.086180,-1.491900,1.518200,1.000000
Nb,0.000000,FOT,2.121200,0.053810,-1.500700,1.501500,1.000000
Mo,0.000000,FOT,2.188700,-0.006550,-1.253400,1.240100,1.000000
Tc,0.000000,FOT,2.257300,-0.057370,-1.074500,1.066300,1.000000
Ru,0.000000,FOT,2.373000,-0.150400,-0.776940,0.790600,0.999500
Rh,0.000000,FOT,2.509900,-0.259060,-0.447190,0.494430,0.999500
Pd,0.000000,FOT,2.675200,-0.391370,-0.058940,0.154040,0.999500
Ag,0.000000,FOT,2.886900,-0.561190,0.421890,-0.256590,0.999000
Cd,0.000000,FOT,3.084300,-0.714500,0.844820,-0.609900,0.999000
In,0.000000,FOT,3.314000,-0.896970,1.350300,-1.039100,0.999000
Sn,0.000000,FOT,3.498400,-1.029900,1.689900,-1.298600,0.999000
Sb,0.000000,FOT,3.704100,-1.182700,2.089200,-1.616400,0.999000
Te,0.000000,FOT,3.882400,-1.309800,2.411700,-1.864200,0.999000
I,0.000000,FOT,4.080100,-1.450800,2.767300,-2.139200,0.999000
Xe,0.000000,FOT,4.246100,-1.563300,3.042000,-2.342900,0.999000
Cs,0.000000,FOT,4.389100,-1.654200,3.254500,-2.492200,0.999500
Ba,0.000000,FOT,4.510700,-1.725700,3.413200,-2.595900,0.999500
La,0.000000,FOT,4.602500,-1.770700,3.499700,-2.640500,0.999500
Ce,0.000000,FOT,4.690600,-1.817900,3.602800,-2.706700,0.999500
Pr,0.000000,FOT,4.721500,-1.813900,3.564800,-2.651800,0.999500
